Date,Transaction Description,Amount,Category,Company,Account Type,Expense By Category,Revenue By Category
2021-08-27,"'STRIPE PAYMENTS UK, STRIPE , FP 27/08/21 0845 , PH737VTI1HMHW0CW00",34.11,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-08-31,"'STRIPE PAYMENTS UK, STRIPE , FP 31/08/21 0854 , PH737VTI1HMI1TJX00",9.66,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-09-03,"'STRIPE PAYMENTS UK, STRIPE , FP 03/09/21 0846 , PH737VTI1HMIKVET00",58.96,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-09-06,"'STRIPE PAYMENTS UK, STRIPE , FP 06/09/21 0855 , PH737VTI1HMIQZW400",181.59,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-09-06,"'STRIPE PAYMENTS UK, STRIPE , FP 06/09/21 0851 , PH737VTI1HMIRN2F00",246.1,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-09-07,"'STRIPE PAYMENTS UK, STRIPE , FP 07/09/21 0842 , PH737VTI1HMIXKSL00",314.72,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-09-08,"'STRIPE PAYMENTS UK, STRIPE , FP 08/09/21 0849 , PH737VTI1HMJ2JWO00",246.1,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-09-09,"'STRIPE PAYMENTS UK, STRIPE , FP 09/09/21 0848 , PH737VTI1HMJ7O1300",58.96,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-09-10,"'STRIPE PAYMENTS UK, STRIPE , FP 10/09/21 0850 , PH737VTI1HMJB8JF00",117.92,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-09-13,"'STRIPE PAYMENTS UK, STRIPE , FP 13/09/21 0857 , PH737VTI1HMJHQSU00",74.54,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-09-13,"'STRIPE PAYMENTS UK, STRIPE , FP 13/09/21 0847 , PH737VTI1HMJGGHR00",58.96,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-09-13,"'STRIPE PAYMENTS UK, STRIPE , FP 13/09/21 0853 , PH737VTI1HMJIVTR00",9.66,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-09-13,"'OLIVIA COTTON , CLEANING , VIA MOBILE - LVP , FP 13/09/21 10 , 20065332386682000N",-22.5,Salary for cleaning,Studio 224 ltd,Current account,-272.5,0
2021-09-14,"'STRIPE PAYMENTS UK, STRIPE , FP 14/09/21 0847 , PH737VTI1HMJNL2F00",74.54,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-09-15,"'STRIPE PAYMENTS UK, STRIPE , FP 15/09/21 0849 , PH737VTI1HMJTSR100",437.77,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-09-15,"'GOCARDLESS , SAGEACCOUNTI-8EAEB, INITIAL PAYMENT",-100,Sage Business Cloud Subscription,Studio 224 ltd,Current account,-1000,0
2021-09-16,"'STRIPE PAYMENTS UK, STRIPE , FP 16/09/21 0845 , PH737VTI1HMJWG6X00",398.92,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-09-16,"'THE MULBERRY PARTN, OCTOBER RENT , VIA MOBILE - LVP , FP 16/09/21 10 , 34040843585379000N",-1000,Rent Payment,Studio 224 ltd,Current account,-9500,0
2021-09-17,"'STRIPE PAYMENTS UK, STRIPE , FP 17/09/21 0851 , PH737VTI1HMK2W3L00",240.97,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-09-17,"'OLIVIA COTTON , CLEANING , VIA MOBILE - LVP , FP 17/09/21 10 , 51082104554361000N",-20,Salary for cleaning,Studio 224 ltd,Current account,-272.5,0
2021-09-20,"'STRIPE PAYMENTS UK, STRIPE , FP 20/09/21 0844 , PH737VTI1HMK702X00",538.34,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-09-20,"'STRIPE PAYMENTS UK, STRIPE , FP 20/09/21 0844 , PH737VTI1HMK74ER00",597.3,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-09-20,"'STRIPE PAYMENTS UK, STRIPE , FP 20/09/21 0853 , PH737VTI1HMK8Z6200",346.67,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-09-20,"'SAMANTHA BELTON , MONDAY CLEAN 2HRS , VIA MOBILE - LVP",-30,Salary for cleaning,Studio 224 ltd,Current account,-272.5,0
2021-09-20,"'EMMA COCKER , REFUND FOR 121 , VIA MOBILE - LVP , FP 20/09/21 10 , 46072207684392000N",-40,Refund Payment / Fee,Studio 224 ltd,Current account,-115,0
2021-09-21,"'STRIPE PAYMENTS UK, STRIPE , FP 21/09/21 0846 , PH737VTI1HMKEPBR00",213.17,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-09-22,"'STRIPE PAYMENTS UK, STRIPE , FP 22/09/21 0850 , PH737VTI1HMKKSYI00",172.54,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-09-23,"'STRIPE PAYMENTS UK, STRIPE , FP 23/09/21 0844 , PH737VTI1HMKP7C300",136.86,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-09-24,"'STRIPE PAYMENTS UK, STRIPE , FP 24/09/21 0844 , PH737VTI1HMKSL5I00",25.24,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-09-24,"'OLIVIA COTTON , CLEANING , VIA MOBILE - LVP , FP 24/09/21 10 , 45054331790542000N",-20,Salary for cleaning,Studio 224 ltd,Current account,-272.5,0
